id;autors;fecha_nato
203;James Thurber;1983-11-29
204;Los Angeles County Museum of Art;2021-10-10
205;Diane Schmidt;1920-09-13
206;Sue Bender;1982-05-09
207;Brannon Jason;1919-10-26
208;"Flynn""]";2018-10-10
209;James A. Herrick;1967-05-14
210;Jeff Bower;1956-11-16
211;Winston Leonard Spencer Churchill;1923-05-10
212;Jean Marzollo;1949-06-04
213;Felix Maurice Hippisley Markham;1994-08-28
214;Ann Ann Howey;2007-03-19
215;Rosamunde Pilcher;1914-04-22
216;Margaret Parent Lutz;1915-06-03
217;Herbert Lockyer;1999-06-18
218;Raven Kaldera;1968-02-27
219;Mark Podolsky;1927-07-26
220;F. Vernon Chandler;1925-06-11
221;Hershel Shanks;1948-01-12
222;Johann Wolfgang von Goethe;1943-03-31
223;Judith C. Brown;1902-07-17
224;Linnea Smith;1930-11-08
225;Barbara Campbell;1962-07-17
226;Kylie Brant;1964-08-05
227;Madison Smartt Bell;1933-11-12
228;John A. Jackman;1961-11-09
229;Harriet Martineau;1926-04-26
230;Henry Vogel;2016-11-12
231;John McDonald;1942-06-14
232;DK Travel;1946-08-19
233;Abraham Lincoln;1923-01-17
234;Thomas Paine;1994-03-11
235;Geoffrey Bourton Keene;1968-09-25
236;Howard Zinn;2019-01-20
237;Dylan Jones;1914-07-14
238;Vinson Brown;1992-01-17
239;Max Brand;1964-10-14
240;William Lawrence Neuman;1984-09-30
241;Clark Coolidge;1992-10-12
242;Betty Antunes de Oliveira;2017-07-19
243;John C. Maxwell;1930-12-29
244;Jere Bishop Franco;2019-01-18
245;Elizabeth Winthrop;1925-04-19
246;Gretchen Holbrook Gerzina;1966-07-09
247;Nazli Kibria;1912-08-08
248;James P. Brosnan;1957-01-11
249;Gale Group;2018-01-27
250;Lonely Planet;1960-12-16
251;Wally Armbruster;1988-08-01
252;Derek Mckay;2012-10-09
253;Peter M. Haas;2011-02-08
254;Edgar Allan Poe;1903-01-31
255;Forrest E. Baird;1987-01-23
256;William Barnaby Faherty;1970-08-29
257;Frank Daignault;1975-06-03
258;Frank Gee Patchin;1958-10-06
259;J Ludwig;1906-04-17
260;Dailey News of Los Angeles;1956-04-02
261;Travel Journals Canals of Amsterdam;1933-04-10
262;Ellen Margolis;1969-10-13
263;Simon Winchester;1939-12-13
264;Aldren A. Watson;1935-12-22
265;Joanna Scott;1937-09-25
266;Major LaCaritilie;1902-12-16
267;Edna Deu Pree Nelson;1932-04-21
268;Anne Cholawo;1915-07-12
269;Barbara Schave Klein;2000-01-10
270;Tres Iniciados;2015-05-27
271;David K. Wright;1935-10-02
272;James W. Moore;1914-06-29
273;Franklin G. Miller;2009-03-15
274;Peter Terrel;1970-02-18
275;Foshanta L. Garth;1936-11-22
276;Michael Francis Gilbert;1991-09-06
277;Jurgen Haacke;1970-07-13
278;Gwen Bristow;1904-04-12
279;Marcello Barbieri;2016-12-22
280;Hope Lourie Killcoyne;1932-12-01
281;William E. Boyce;1999-04-11
282;Richard T. Wright;1996-01-01
283;Edward John Trelawny;1944-06-09
284;Ken Renshaw;1914-12-15
285;Annalees Lim;2002-04-28
286;Abby J Stewart;1943-10-18
287;Ronald R. Brill;1918-02-26
288;Peter Ballingall;1960-04-22
289;Malvina Cathleen Kaveny;1906-12-07
290;Daniel Goleman;1987-06-09
291;Brad Schepp;1981-08-25
292;Clarence Day;1964-08-16
293;Will Durant;1953-10-14
294;Charles Dickens;1915-01-08
295;William Albert Robinson;2021-05-21
296;SyberVision Systems, Inc;1961-11-14
297;Peter McWilliams;1956-06-08
298;Sadie Wernick Hurwitz;1971-04-11
299;Ogden Nash;1965-08-22
300;Susan Meddaugh;2007-12-01
301;Robert Masters;1923-06-23
302;Vanessa Jakeman;1978-05-10
303;Owen Egerton;1986-03-14
304;Giuliana Cavallini;1914-12-15
305;Søren Kierkegaard;1922-11-16
306;Ernest Miller Hemingway;1923-10-22
307;Nelson Lee;1969-05-24
308;Linda Lee;1912-01-27
309;Sterling Watson;1999-01-21
310;Stanley Morison;1946-02-15
311;F. Tennyson (Fryniwyd Tennyson) Jesse;1909-12-29
312;Harj Gill;1917-09-09
313;Greg A. Gerrie;1990-08-06
314;Jeffrey Carl Rona;1996-08-17
315;Emma Jensen;1935-10-24
316;Ed McCarthy;1985-04-14
317;Gary A Langenwalter;1977-09-08
318;Edward J. Bardon;2014-08-12
319;Sotero Agboton;1921-07-20
320;Donna Fason;1908-07-08
321;Ronda L. Brulotte;2002-07-21
322;Ana Guadalupe Valenzuela Zapata;1929-01-26
323;AGATHA. CHRISTIE;1962-04-17
324;Patrick Sweeney;1930-11-10
325;Martin Urban;1945-10-26
326;Alamo Area Library System (Tex.);1906-08-19
327;LaUna Huffines;1990-04-19
328;Tsi-gziou Li;1933-09-09
329;C. Edwin Baker;2019-06-22
330;Brian H. Jones;1999-08-10
331;Jean-Paul Sartre;1900-07-11
332;Charles F. Levinthal;1971-06-13
333;Jacqueline S. Thursby;1992-10-28
334;William F. Buckley, Jr.;1983-10-17
335;Juliet Koprowska;1916-05-31
336;Ruth Daggett LEINHAUSER;2006-01-18
337;William Leach;1980-09-16
338;Pamela Horn;1902-10-02
339;Motoo Yamakura;2010-11-22
340;Topol;1950-04-20
341;Corrin Strong;1960-04-05
342;Donald Cline;2013-10-11
343;Christopher Buckley;1957-03-15
344;Lynette Vinet;1915-05-22
345;Gregory J. Higby;1931-09-02
346;Hendrickson Publishers;1933-10-21
347;Jim Pipe;2009-08-13
348;Joan E. Kaiser;1926-08-05
349;Jiddu Krishnamurti;1936-05-19
350;James Claude Thomson;1904-06-05
351;Lawrence Langel;1904-01-20
352;Neal Frisby;1965-07-22
353;Francis Brown Barton;1989-03-29
354;Dorothy Canfield;1978-07-23
355;United States. Soil Conservation Service;1987-07-23
356;Robert Marshall;2011-04-13
357;Jason Thompson;2016-06-01
358;Gabriel Biderman;1959-06-14
359;Bharat Thakur;1952-03-17
360;Tom Birdseye;1963-07-23
361;Piers Anthony;2003-11-05
362;Paul Oliver;1983-10-22
363;Barbara B. Lackritz;2008-12-08
364;Mary Calhoun;1990-03-27
365;Melissa Dodd;1933-08-07
366;North Carolina. Department of Community Colleges. Curriculum Laboratory. Audio-Visual Education;1931-11-26
367;Kenneth Cloke;1999-02-22
368;Andrew Jaffe;2017-01-04
369;David Remnick;1998-02-09
370;Debra H. Lewin;1903-09-27
371;Samuel Hynes;1914-08-01
372;Rae Crossmon;2003-12-30
373;Eugenio Montale;1919-01-06
374;Betty Jane Wagner;1932-02-18
375;Ron Dunn;1938-01-06
376;Jean M. Auel;1962-03-15
377;DK PUBLISHING;2005-11-19
378;Lynn Cullen;1951-04-21
379;H. Rider Haggard;1925-07-20
380;Deborah Coultrip-Davis;1914-08-08
381;Alan J. Flusser;1915-10-09
382;Robert J. Reimold;1903-02-13
383;Emma Lathen;1945-11-23
384;Amy Baker;1993-09-23
385;Stephen Cox;1930-08-25
386;Richard K. Bernstein;1949-05-26
387;Mary Ronald;1997-01-09
388;Frederick Schiller Faust;1928-06-04
389;Joel S. A. Hayward;1960-02-20
390;Llewellyn Vaughan-Lee;1921-02-16
391;Nemata Amelia Blyden;1929-02-25
392;Eric Nadel;1987-06-12
393;Cynthia Tunstall;1931-03-05
394;Primo Levi;1938-07-13
395;Cassie Edwards;1998-03-05
396;Howard E. Cook;1928-12-12
397;Dandi Daley Mackall;1914-03-10
398;Ronda Armitage;1974-01-26
399;Bob Wilson;1954-03-28
400;Ronald Hutton;1940-05-05
401;Stephen R. Rementer;1918-10-22
402;Bryan Mellonie;1934-08-02
403;Dave Hughes;1940-09-18
404;Jean Calvin;1955-04-02
405;Malcolm L. Hunter;1941-09-22
406;Vern Gambetta;1978-10-25
407;Andrea Sutcliffe;2011-04-26
408;Stormie Omartian;1901-07-05
409;Isaac Kramnick;1958-12-31
410;L. J. Smith;1909-02-21
411;Lolo Pedro;1972-12-19
412;Richard Boyer;1956-08-08
413;Al Anderson;1985-06-18
414;Lester David;1900-06-29
415;Michael Stipe;1989-12-21
416;Marian Wright Edelman;1946-03-29
417;Origins Publications;1972-12-04
418;John A. Keel;2005-03-28
419;Stephen J. Pitti;1971-07-22
420;Tom Watts;1991-04-09
421;Stephanie Newell;1901-03-19
422;Ben B. Fischer;1941-05-14
423;Chad Harbach;1931-11-12
424;Star LaBranche;1947-03-28
425;John Kremer;1974-12-30
426;Edgar Rice Burroughs;1985-03-24
427;Gordon Swanborough;2010-09-03
428;Vincent F. Seyfried;1909-07-24
429;David N. Laband;2000-03-13
430;Scott Straus;1971-04-12
431;Dave Chaffey;1965-12-21
432;Vivian DeRusha Quantz;1999-12-19
433;Kimberly K. Ballard;1972-03-05
434;John E. Hesselgreaves;1938-03-09
435;Janet Farrar;2018-01-05
436;Joanna Frueh;1931-10-02
437;Dilip K. Das;1990-09-14
438;Jamaica Kincaid (pseud. van Elaine Potter Richardson);1960-08-07
439;Edward Raventon;1989-12-15
440;Jean Giono;1915-05-14
441;Marshall T. Rose;1987-05-27
442;Alan Dean Foster;1916-09-08
443;M. H. Alsuwaiyel;2021-12-28
444;Robert D. SaintLaurent;1972-05-19
445;Gerhold K. Becker;1963-04-19
446;Erle Stanley Gardner;1979-12-26
447;Paris Reidhead;1938-08-18
448;Charlie Smith;1914-02-26
449;Robert Rutland;1968-02-04
450;David Pierce;2000-12-26
451;Dean Koontz;1963-07-17
452;Nickole Brown;1911-11-02
453;Michelin Travel Publications (Firm);1954-08-21
454;Mary-Elaine Jacobsen;2020-08-10
455;Harold Schechter;1960-06-24
456;Robert Houston;1916-01-19
457;Scott Adams;1992-09-20
458;Shawn Amador;1979-03-23
459;Ruth Wind;2016-03-13
460;Dian Layton;1985-01-23
461;Amy Nathan;1961-09-25
462;James W. Williams;1980-01-17
463;D. A. Cruse;1985-12-30
464;David R. Starbuck;1923-10-06
465;Melanie Jackson;1943-02-03
466;Robin C. Pennell;1969-09-07
467;あい・矢沢;1985-09-18
468;Philippa Gregory;1983-11-05
469;John Matthews;1904-05-18
470;Charles R. Swindoll;1914-07-01
471;Caroline Reynolds;2004-05-16
472;Timothy McMahon;1972-06-23
473;Joe Kelsey;1999-05-06
474;Iris Origo;1953-11-23
475;John Galsworthy;1973-03-18
476;Christopher Coker;1936-08-15
477;John Arquilla;2008-07-30
478;George P. Donehoo;1939-08-16
479;Lillian Too;1992-01-01
480;Tania Gabrielle;2007-02-10
481;Ray Robinson;1938-09-16
482;Karen Rauch Carter;2020-11-03
483;Claus Westermann;1943-10-14
484;Leonard Pitt;2002-10-03
485;Elaine Showalter;2015-03-30
486;H. George Shoffner;2015-07-01
487;Bergen Evans;2012-05-18
488;Maurits Cornelis Escher;1941-03-13
489;Lady Barker;1975-03-01
490;Eric Roberts;2002-11-04
491;William Gilmore Simms;1928-08-02
492;Bernard Malamud;1965-05-29
493;Wally Jay;1918-10-11
494;J. Daniel Gifford;2011-02-05
495;Sandra Benitez;1908-02-20
496;Hugh Lofting;1903-07-14
497;Hilary St. George Saunders MC;1988-01-08
498;Ambrose Bierce;1963-02-23
499;Cheryl Angelina Koehler;1977-01-12
500;Patrick Spielman;1964-06-16
501;Bible English English Standard;1989-09-25
502;Debra Webb;1977-12-13
503;Bowker Editorial Staff;1973-05-16
504;Frances Mayes;1930-11-30
505;James Baldwin;1968-01-02
506;Coleman Barks;1959-09-02
507;Tama Starr;1969-01-02
508;Norma Ruth Wilson;2003-05-16
509;Thomas Hardy;1911-06-20
510;James M. Dyet;1985-04-03
511;Joachim E. Fest;1913-11-29
512;Elizabeth Bluehorse;1925-02-15
513;Raymond M. Corbin;1934-12-02
514;Vivian C. Cadbury;1972-11-01
515;Bruce S. Feiler;1962-10-31
516;John F Schostak;2004-03-02
517;Solomon Northup;1927-04-07
518;Larry Niven;1916-02-02
519;Ashok Swamy;1936-01-06
520;Samira Rao;1922-08-22
521;Charles M. Coleman;2014-12-17
522;Susan Fletcher;1991-10-18
523;Richard Russo;1991-08-22
524;J. P. Forget;1909-10-10
525;J.C. Suares;1922-04-21
526;John Boman;1900-10-25
527;Peter Kingsley;1941-08-13
528;Deborah Blaz;1901-09-25
529;"Arcy McGee""]";1958-02-23
530;Library of Congress. Copyright Office;2003-12-29
531;Phaedra Hise;1940-04-28
532;Marie Winn;1931-05-07
533;Jack Kerouac;1948-03-20
534;Elizabeth Bowen;1984-09-06
535;Archibald Alexander Hodge;1985-12-04
536;Jane Nelsen;1938-02-25
537;Ken Bazyn;1960-01-16
538;Steve Sullivan;2012-05-16
539;Andrew Vladimirov;1934-12-30
540;Ramona Jablonski;1909-08-29
541;R. D. Blackmore;1976-10-04
542;Zitkala Sa;2007-08-20
543;Abraham Merritt;1948-02-03
544;James Kilgo;2014-05-31
545;United States. Army Map Service. Library. Book and Periodical Branch;1999-10-26
546;NA NA;2012-08-07
547;Dennis William Hauck;1977-10-26
548;Bill Nichols;1909-08-23
549;Virginia Hamilton;1945-04-15
550;United States. Congress. House;1966-03-03
551;Nancy Friday;1900-03-10
552;David McCann;2021-11-30
553;Steven J. Milloy;1914-08-15
554;Jennifer Knust;1944-09-05
555;Joseph Butler;1914-04-24
556;Paxton Quigley;1929-05-16
557;F. Marion Crawford;1971-02-24
558;Daniel Pechoin;1920-09-25
559;Jeannette Hardy;1944-08-21
560;Julie Ganz;1992-04-24
561;John Gray;1925-02-05
562;John Locke;2014-07-01
563;David Zolt;1934-05-23
564;Suzanne Willis Zoglio;1959-03-13
565;Barbara Barstow;2009-12-08
566;Foster Furcolo;1997-07-06
567;Sir Malcolm D. Evans;1953-04-14
568;Juliet E.K. Walker;1944-01-11
569;James Lam;1964-02-19
570;Patrick Olivelle;1989-12-07
571;Christopher Lasch;1950-05-11
572;Vikas Khatri;1927-05-28
573;Gayle Rosenwald Smith J.D.;1967-04-08
574;Nina Harrington;1928-09-27
575;Moshe Halbertal;1971-01-04
576;Tom Brosnahan;1997-10-09
577;Daniela Krien;1944-06-05
578;JJA Harwood;1948-08-24
579;Smithsonian Institution;1986-10-15
580;Chevy Stevens;1954-04-23
581;George Herbert Orchard;1991-02-26
582;Richard W. Farwell;2002-06-27
583;K. Louwman;1992-02-07
584;Rose Gough Kerr;1936-07-18
585;Steven R. Selengut;1955-02-06
586;Nicola Cornick;2014-02-08
587;Elizabeth Sabrinsky Foster;1974-07-17
588;Tom Betsy;1999-10-08
589;Michele Borba;1908-04-06
590;Mark Strand;1955-05-25
591;Robert Rosenstone;1985-09-04
592;Robert Follansbee;1958-06-06
593;Pierre Bourdieu;1944-02-19
594;Lyn Cote;1905-01-24
595;James Morrow;1995-11-22
596;Kelly L. Murdock;1912-12-08
597;Joseph Scudder Chamberlain;1944-11-15
598;Marieke Blokland;1927-09-12
599;Mykel Board;1979-04-14
600;Donald A. Low;1954-08-15
601;Laurence E. Lynn Jr.;1939-08-12
602;Lynn Ellen Doxon;1923-09-04
603;James L. Crenshaw;1909-05-11
604;Samuel Bronfman Professor of Democratic Dusiness Enterprise-Manangement Donald C Hambrick;1955-11-08
605;Peter Ustinov;2003-08-14
606;Vernon Rosco CARSTENSEN;1950-03-30
607;Taylor Marsh;1977-10-13
608;Mark Philip Bradley;1955-12-25
609;Henry S. Olcott;1910-01-23
610;John Garrett;1951-07-29
611;Lisa Aronson Fontes;2005-07-18
612;Patricia Rich;1909-01-20
613;Barbara Gordon;2010-01-08
614;Con Price;1971-09-17
615;Gerald Durrell;1948-02-22
616;Lorraine Johnston;2019-01-17
617;Sandor Nagyszalanczy;2011-09-28
618;Prof Joanna Bourke;1915-08-28
619;Terence Hanbury White;1972-12-25
620;Teiji Itō;1950-01-16
621;Thomas Hoover;1961-03-03
622;Denise Dietz;1971-01-28
623;Harry Pidgeon;2004-05-10
624;Victor Thaddeus;1986-04-02
625;Vincent A. McCarthy;1959-08-14
626;Gerald R Pieters;1972-07-05
627;Globe;2010-01-07
628;Aggrawal Ajay;1904-01-31
629;John Alec Baker;1909-03-13
630;Robert Chapman;1982-09-15
631;Clifford A. Hull;1920-05-20
632;William S. Burroughs;1945-10-13
633;Elliott Leyton;1953-05-10
634;Melinda Roth;2016-07-12
635;Eve Curie;2018-08-20
636;Andrew Porter;1918-09-28
637;John Dean;1969-04-03
638;Derek Howard Aldcroft;2008-04-03
639;Robert L. Kapitzke;1989-01-02
640;David B. Thomson;2014-03-16
641;Eric M Bergerud;2010-07-11
642;Thomas Gordon;1911-05-16
643;Rick Polizzi;1943-08-21
644;Aaron Kipnis;1950-08-01
645;Vanessa Watson;2010-12-24
646;Basil Davidson;1921-11-02
647;Oasis Press/PSI Research;1951-01-13
648;Dorothy Canfield Fisher;2009-03-18
649;Rand McNally and Company (NA);2021-09-24
650;Michael A. Godfrey;1946-08-27
651;John Okell;1977-06-01
652;Virginia Ryan;1927-07-17
653;Irmgard Schloegl;1939-02-09
654;Edward Evan Evans-Pritchard;1996-03-15
655;Maan Meyers;1952-01-26
656;Jan Eaton;1932-01-27
657;Edward II (King of England);1967-05-24
658;Butch Harmon;1968-05-04
659;Eugenia C. DeLamotte;2014-12-03
660;George S. Lensing;1945-12-24
661;General George C. Kenney;1996-10-21
662;Julia Straub;1912-12-02
663;Daniel Donnelly;2013-01-09
664;Alfredo Matilla;1978-08-13
665;Monica Hughes;1934-09-28
666;John Christopher;1914-04-08
667;Steve Derne;2001-01-01
668;Robert C. Merton;2019-03-27
669;William Reed;2018-09-25
670;Dianna Booher;2004-05-31
671;Daniel Lazare;1944-09-25
672;Stephen King;1911-08-25
673;Max N. Andrews;1901-03-18
674;Gloria J. Burgess;1938-03-06
675;Nick Wood;2020-10-13
676;Henry George;1982-02-27
677;Stefano Calicchio;1934-10-12
678;Madeleine Wickham;1957-05-07
679;M. Russell Ballard;1914-02-20
680;Richard E. Eby;1956-03-30
681;William Shakespeare;1924-08-29
682;Robert C. Sprung;1932-09-03
683;TSR Inc;1936-10-22
684;Walter Bagehot;1964-05-04
685;William Heffernan;1900-03-24
686;Gladys Conklin;2018-01-11
687;Geraldine Flanagan;1952-11-05
688;D. Yogi Goswami;1928-09-10
689;Robert J. Randisi;1994-02-07
690;Louise Penny;2004-03-21
691;Robert Kirkwood;1999-09-04
692;John Henry Newman;2010-01-18
693;Anne Baker;1942-01-20
694;Mable Hoffman;1960-06-20
695;Dorothy Corkille Briggs;1901-06-26
696;Charles Manson;1943-04-22
697;Ken Catran;1945-09-14
698;David Weber;1965-06-14
699;Gwendolyn Leick;1990-10-31
700;Jean Doresse;1979-07-18
701;Mireille Mentre;2021-02-26
702;Charles Wesley Lowry;1904-11-20
703;Leonard Yanow;1939-11-23
704;Elmer E. Gaede;1962-10-20
705;Ruth Megaw;1960-03-05
706;William Cheung;1958-03-22
707;Trisha R. Thomas;1902-12-25
708;Edmund Saunders;1937-12-11
709;Mahmood Mamdani;1978-01-24
710;Alastair Reynolds;1914-07-11
711;Roger Handy;1923-02-10
712;Wilhelm Reich;1972-05-28
713;Robert Descharnes;1987-04-14
714;"Connor""]";2004-11-13
715;Victoria Glendinning;1963-04-22
716;Lloyd Gardner;2000-06-03
717;Leon Fradley Whitney;1981-08-05
718;Lillian Müller;1989-09-26
719;Ross Bernstein;1988-05-15
720;George Thomas;2013-06-24
721;Illuminati Formula;1952-05-07
722;Nelson Lichtenstein;1955-03-29
723;Paul A M Van Lange;2000-12-01
724;Leah Komaiko;1939-12-14
725;William D. Hassett;1988-01-27
726;Harald Hoiback;1934-12-27
727;Norman Bridwell;1966-01-23
728;Ben M. Baglio;1938-12-09
729;"Amato""]";1919-12-28
730;M. L. Stevens;1900-01-23
731;Rumer Godden;1968-06-08
732;James Clavell;1996-01-11
733;Sergius Golowin;1946-04-26
734;Donald Arthur Wells;1904-01-29
735;Graal Braun;1998-11-01
736;Leisure Arts, Inc.;1921-10-06
737;Kazuo Iwamura;1915-12-14
738;James Huneker;1973-05-17
739;"s Travel Publications"", ""Fodor";1952-12-22
740;Allen Rucker;1997-04-13
741;Franklin W. Dixon;1971-02-10
742;Bruce Anderson;1954-10-11
743;Rosemary Lunardini;2020-04-12
744;Nancy Hatch Dupree;1915-09-02
745;David Trinidad;1936-03-04
746;Frederick Douglass;1962-04-01
747;James Robert Brown;1918-12-01
748;James Plunkett;1970-11-16
749;George Beal;1979-03-04
750;Dumas Malone;1947-01-27
751;Helena Hunting;1977-04-05
752;William H. Patterson;2005-04-02
753;Sidney Cox;1996-01-22
754;Marcus Libkind;2002-12-04
755;Dick Sternberg;1979-01-25
756;Zoe Mellor;2005-07-21
