it;publisher unico;id_ubicacion
111;Skyhorse;41
112;Tuttle Publishing;204
113;Harpercollins;13
114;Caxton Press;30
115;Luitingh Sijthoff Fantasy;272
116;Harvard Business Press;274
117;Shelfless;235
118;Createspace Independent Publishing Platform;28
119;Dramatists Play Service Inc;323
120;Heian International Publishing Company;28
121;Teacher Created Resources;200
122;Illustrated History of Canada;213
123;Liverpool University Press;55
124;Academy Chicago Publishers, Limited;340
125;Libraries Unlimited;57
126;Double Dragon Pub;225
127;Potomac Books Incorporated;225
128;Cartwheel Books;146
129;Signet;210
130;Boydell & Brewer;311
131;Kregel Publications;47
132;Llewellyn Worldwide;240
133;Lioncrest Publishing;73
134;Univ Editions;93
135;Pearson College Division;330
136;Pfeifer-Hamilton Pub;52
137;Penguin;143
138;Taylor Trade Publishing;210
139;Arcadia Publishing;17
140;Transaction Publishers;353
141;Library of America;4
142;Naturegraph Pub;397
143;Allyn & Bacon;257
144;Sun and Moon Press;86
145;Nelson Bibles;307
146;University of North Texas Press;38
147;Holiday House;173
148;Harper Paperbacks;399
149;Gale Cengage;48
150;Lonely Planet;74
151;Studies in International Relat;71
152;Penguin (Non-Classics);399
153;Mt Publications;328
154;CSIRO PUBLISHING;163
155;Sports Publishing LLC;193
156;Dover Publications;305
157;Magic Carpet Books Incorporated;193
158;Birlinn Publishers;178
159;Amacom Books;323
160;Dimensions for Living;316
161;JHU Press;64
162;French & European Publications;260
163;Xlibris Corporation;332
164;New York : Harper;395
165;Pearson Education;396
166;London : B.M. Pickering;389
167;The Rosen Publishing Group;396
168;Westview Press;204
169;Business Contact;306
170;Collectors Press, Inc.;33
171;Vintage Classic;212
172;Mary Book / Prelude Press;251
173;AnkhHermes, Uitgeverij;281
174;Uitgeverij Strengholt;221
175;Sourcebooks, Inc.;278
176;CUP Archive;24
177;London : Heinemann;86
178;FriesenPress;284
179;Hal Leonard Corporation;234
180;Ivy Books;160
181;Burnham Incorporated Pub;124
182;University of Arizona Press;399
183;Gun Digest Books;132
184;H J Kramer;94
185;University Press of Amer;166
186;American Univ in Cairo Press;148
187;Brian H Jones;390
188;Isi Books;6
189;Amberley Publishing Limited;119
190;Gkk Publications;66
191;Barricade Books Incorporated;109
192;Sunstone Press;213
193;Knopf;271
194;Zebra Books;387
195;University of Alabama Press;307
196;Hendrickson Publishers;199
197;Copper Beach Books;207
198;UPNE;211
199;Standard Publications Incorporated;79
200;20th Century Life Publications;92
201;Prentice Hall;98
202;Peachpit Press;228
203;SCB Distributors;273
204;Patient-Centered Guides;369
205;Rizzoli International Publications;393
206;Library of America Classic Jou;64
207;Rae Crossmon;330
208;Farrar, Straus and Giroux;230
209;Boynton/Cook;369
210;B&H Publishing Group;329
211;Christian Liberty Press;284
212;Book Publishing Company (TN);200
213;Random House Incorporated;94
214;McGraw-Hill Professional Publishing;210
215;New Hope Publishers;264
216;Plume;214
217;The Golden Sufi Center;201
218;Taylor Pub;36
219;*Frommers;357
220;J.M. Meulenhoff;276
221;Trafford on Demand Pub;163
222;Turtleback;340
223;Michael Joseph;105
224;Oxford University Press;3
225;Looseleaf Law Publications;373
226;Stackpole Books;192
227;Orono, Me. : University of Maine Press;72
228;St. Martin's Press;111
229;Harvest House Publishers;223
230;W. W. Norton & Company;240
231;United Electrical Radio &;38
232;Nature Study Guild Publishers;379
233;Bezige Bij b.v., Uitgeverij De;7
234;Naval Inst Press;127
235;Cato Institute;93
236;Mit Press;37
237;Gulf Professional Publishing;166
238;Olive Press Publisher;335
239;Pergamon Press;104
240;Robert Hale;229
241;Kaplan AEC Engineering;206
242;Falcon Guides;106
243;Random House;141
244;World Scientific;268
245;Fitness Express Publications;55
246;Bethany House Pub;376
247;Owl Books;116
248;University of Missouri Press;311
249;Cork University Press;176
250;Sarabande Books;46
251;Michelin Travel Publications;147
252;Oxford University Press, USA;213
253;Ediciones Granica S.A.;374
254;Jessica Kingsley Publishers;91
255;Silhouette;187
256;Destiny Image Publishers;361
257;Henry Holt and Company (BYR);279
258;Love Spell;276
259;Vida Pub;32
260;Devorss Publications;181
261;Random House (NY);1
262;Pushkin Press;88
263;FilRougeViceversa;270
264;Rand Corporation;32
265;HarperElement;145
266;Fair Winds Press;80
267;Waveland PressInc;291
268;Westminster John Knox Press;201
269;Viking Press;301
270;Mcgraw-hill;398
271;John Wiley & Sons Incorporated;229
272;Hyperion Books;31
273;Lindhardt og Ringhof;388
274;University of Nevada Press;321
275;Sterling Publishing Company, Inc.;360
276;Collins;263
277;Thomas & Mercer;98
278;Random House Value Pub;38
279;Rr Bowker Llc;172
280;Hampton Roads Publishing;113
281;Harcourt;338
282;AuthorHouse;250
283;Da Capo Press;64
284;Lulu.com;319
285;Cengage Learning;329
286;Mariner Books;81
287;Atlas Contact;199
288;Baen Publishing Enterprises;75
289;Publishamerica Incorporated;380
290;Atlantic Books;291
291;Howell Books;291
292;Stewart, Tabori and Chang;278
293;Createspace Independent Pub;336
294;Copyright Office, Library of Congress;178
295;Brassey's Incorporated;84
296;Penguin Books;243
297;Penguin UK;290
298;Prima Lifestyles;378
299;Bloomsbury Academic;110
300;Stoddart;354
301;McGraw Hill Professional;34
302;Stemmer House Pub;332
303;ReadHowYouWant.com;63
304;Big Earth Publishing;172
305;Springer;169
306;Indiana University Press;97
307;Columbia University Press;50
308;University of Toronto Press;57
309;Hackett Publishing;243
310;Wildside Press;294
311;Chronicle Books;196
312;Skyhorse Publishing, Inc.;112
313;Elt Press;391
314;Mmi Pub;24
315;University Press of Kentucky;88
316;University of Pennsylvania Press;363
317;Pustak Mahal;127
318;Harlequin Holland;56
319;A&C Black;352
320;Ambo|Anthos;44
321;Martingale & Company Incorporated;347
322;Cargo;393
323;HarperFestival;115
324;Van Haren;307
325;Traders Press;323
326;Harlequin;357
327;Jossey-Bass;28
328;Turtle Point;288
329;Harvard University Press;110
330;Henry Holt & Company;109
331;Kosmos Uitgevers;74
332;Garrett County Press;34
333;Sutton Pub Limited;12
334;Infinity Publishing;328
335;Mercer University Press;201
336;H B S Press;33
337;DK Publishing (Dorling Kindersley);217
338;Guilford Publications;213
339;Jones & Bartlett Learning;332
340;Bantam Books;336
341;Taunton;274
342;Weatherhill, Incorporated;255
343;Wildside Press LLC;69
344;Globe Fearon;208
345;S. Chand Publishing;164
346;Guild of Master Craftsman Publications Limited;377
347;Kings Road Publishing;335
348;Simon Pulse;233
349;Thomas Dunne Books;294
350;De Bezige Bij Amsterdam;19
351;Ulverscroft;48
352;Manchester University Press;356
353;Oasis;221
354;Destiny Image Pub;42
355;Psychology Press;67
356;Strictly Literary;61
357;New Directions Publishing;351
358;Speaking Volumes;276
359;Krause Publications;104
360;Crown;17
361;University of Michigan Press;339
362;LSU Press;397
363;Rockport Pub;231
364;Praeger;199
365;Wiley-Blackwell;125
366;Kodansha;129
367;Tyndale. Reprinted by Booher Research Institute;399
368;Executive Excellence Publishing;110
369;Sterling Publishing Company Incorporated;351
370;Stefano Calicchio;343
371;Spire;126
372;John Benjamins Publishing;229
373;TSR;385
374;Corwin Press;207
375;Minotaur Books;381
376;Hp Books;75
377;Grove Press;338
378;Lothian Children's Books;260
379;Gospel Standard Publications;229
380;Baen Books;284
381;Ams PressInc;1
382;Todtri Book Pub;275
383;Viking Adult;236
384;Harmony;91
385;Chronicle Books Llc;345
386;William Morrow & Company;222
387;Rutgers University Press;31
388;Rough Guides UK;17
389;Bernstein Books;23
390;The New Press;325
391;SAGE Publications;28
392;Yearling Books;107
393;Greenwood;324
394;TAN Books;151
395;Scholastic Inc.;194
396;Anderson Publishing Company (OH);141
397;Pan Macmillan;12
398;Blackstone Publishing;94
399;Red Wheel;70
400;Superiorbooks.Com Incorporated;168
401;Leisure Arts;52
402;Simon & Schuster Books For Young Readers;150
403;Fodor's;4
404;New Amer Library;189
405;Conran Octopus;373
406;Greenwood Publishing Group;111
407;Warren Press;42
408;Singel Uitgeverijen;317
409;Wilderness Press;49
410;Publishing Solutions, LLC;42
411;Paulist Press;252
412;Nashville : Nelson;263
413;Crecy Publishing;187
414;Author House;27
415;Delphi Classics;399
416;Insight Guides;394
417;Barrons Educational Series;59
418;Thorndike Press;99
419;Longman Publishing Group;187
420;Lds Storymakers;296
421;Kent State University Press;304
422;Laurel Leaf;168
423;University of Oklahoma Press;345
424;Omnibus Press& Schirmer Trade Books;223
425;Fawcett;257
426;Univ of South Carolina Press;365
427;Grand Central Pub;146
428;Macmillan;92
429;Sybex;354
430;Del Rey;349
431;Granta Books;339
432;ETT Imprint;331
433;Pan Books Limited;319
434;Wipf and Stock Publishers;242
435;Rudolf Steiner Press;147
436;Viking;273
437;Healthy Living Inst;138
438;Pelican;306
439;Carlton Books Limited;139
440;John Curley & Assoc;324
441;U of Nebraska Press;66
442;BelleBooks;351
443;Balboa Press;30
444;Saanichton, B.C. : Hancock House;398
445;Thomas Nelson Inc;183
446;Krause Publications Incorporated;14
447;Spence Pub;396
448;Atrium Verlag AG Zürich;368
449;Harlequin Treasury-Harlequin Temptation 90s;309
450;Janes Information Group;108
451;Children's Press;354
452;Scholar's Choice;199
453;Cooper Square Pub;257
454;Burns & Oates;196
455;The Floating Press;259
456;Waterbrook Press;267
457;Boston : Little, Brown;318
458;Bittersweet Enterprises;124
459;B H B Distribution;333
460;Abela Publishing Ltd;366
461;New York : AMS Press;103
462;Holt Paperbacks;268
463;TwoDot;93
464;Schiffer Pub Limited;100
465;Wadsworth Publishing Company;9
466;Schocken;193
467;Economist Books;362
468;De Fontein Romans & Spanning;310
469;Tempus Pub Limited;301
470;Crabtree Publishing Company;321
471;Wisconsin Historical Society;228
472;Random House Reference;224
473;Apa Publications (UK) Limited;354
474;Ebury Press;310
475;Fleming H Revell Company;163
476;Milo Books Ltd;396
477;Vantage Press, Inc;312
478;Titan Books;157
479;Scott Foresman & Company;54
480;Hardpress Publishing;28
481;Taunton Press;353
482;Pilgrims Process, Inc.;103
483;William Morrow Paperbacks;342
484;Sterling Publishers Pvt. Ltd;322
485;Citadel Press;43
486;Que Publishing;382
487;Nabu Press;144
488;A.W. Bruna Uitgevers;362
489;Ozark Society;364
490;David Morrell ;276
491;Modern Library;203
492;Sun & Moon;290
493;LA Alameda Press;19
494;Sams Publishing;155
495;Harry N Abrams Incorporated;379
496;Longtail Publishing;221
497;Harcourt College Pub;128
498;Raincoast Books;284
499;Smart Luck Pub;347
500;ISBS;336
501;Intellect Books;170
502;BoD – Books on Demand;104
503;Andrews McMeel Pub;354
504;Chartwell Books;378
505;University Press of Colorado;265
506;Australian Scholarly Publishing;229
507;University of Ottawa Press;102
508;Crescent;23
509;Page Publishing Inc;146
510;Public Management Associates;274
511;Perfection Learning;212
512;Everyman's Library;324
513;Harry N. Abrams;183
514;Univ of Wisconsin Press;75
515;David De Angelis;294
516;Our Daily Bread Publishing;287
517;Turtleback Books;188
518;Rick Steves;245
519;University of Central Florida;334
520;New York : International Publishers;397
521;McFarland;4
522;University of Chicago Press;128
523;Mel Bay Publications;323
524;Minnesota Historical Society Press;53
525;Maine Wood Heat Company;97
526;Duke University Press;214
527;David R. Godine Publisher;70
528;Mosby Incorporated;217
529;New York : Viking Press;62
530;Dutton Juvenile;346
531;Handprint Books;150
532;Ooligan Press;295
533;Loren Howe;67
534;Doubleday Books;6
535;Sinauer Associates Incorporated;344
536;Sutton Publishing;359
537;Gildan Media LLC aka G&D Media;245
538;OUP Oxford;30
539;InterVarsity Press;294
540;Ishk Book Service;11
541;Summersdale Publishers LTD - ROW;211
542;Backinprint.Com;116
543;Northlight;388
544;Springer Nature;347
545;Read Books Ltd;256
546;Perennial;249
547;Tabby House;312
548;Elsevier Health Sciences;378
549;Research & Education Assoc.;300
550;Carol Publishing Group;116
551;Prometheus Books;71
552;Y42K Publishing;5
553;Pearson Prentice Hall;346
554;Harlequin Books;27
555;Xist Publishing;39
556;Houghton Mifflin Harcourt P;121
557;Barrons Educational Series Incorporated;205
558;Zondervan;283
559;Navpress Publishing Group;186
560;Pick Up Publications;68
561;Management of Innovation and C;134
562;Van Goor;348
563;AB Discovery;73
564;Markham, Ont. : Simon & Schuster of Canada;285
565;For Dummies;254
566;Wiley-Interscience;170
567;WPG Kindermedia;124
568;Running Press Book Publishers;35
569;Dorrance Publishing;333
570;VIZ Media LLC;259
571;eBook Partnership;372
572;Hal Leonard Publishing Corporation;386
573;Elsevier;190
574;Scholastic Paperbacks;123
575;Vintage Canada;167
576;Yearling;17
577;Touchstone;113
578;Titan Books (US, CA);146
579;Wheatmark, Inc.;73
580;Thomas Nelson;266
581;Disney Press;214
582;University of Illinois Press;321
583;LJ Veen Klassiek;53
584;Hci;397
585;Dial Press Trade Paperback;172
586;Dutton Books for Young Readers;205
587;Whitaker House;267
588;Heimburger House Publishing Company;319
589;Purple Bus Pub;394
590;MLS, Inc;100
591;Llewellyn Publications;225
592;Wessex Astrologer Limited;177
593;Collins Reference;187
594;Paw Prints;371
595;Contemporary Books;94
596;Tyndale House Publishers, Inc.;209
597;INTERNATIONAL PUBLISHERS CO;255
598;A&V;134
599;Metropolitan Books;215
600;Upper Room;205
601;Allan;112
602;White Wolf Pub;288
603;"""O'Reilly Media, Inc.""";167
604;Beyond Words/Atria Books;353
605;Oxford University Press on Demand;303
606;Miramax;43
607;Barbour Publishing;120
608;Pearson Scott Foresman;299
609;Signet Book;157
610;Museum of Fine Arts Boston;82
611;David & Charles Publishers;342
612;"Oxford ; New York : Oxford University Press";56
613;Lifeservices Press;267
614;Spinifex Press;176
615;Orono : University of Maine Press;65
616;Impress Mystery;393
617;Faber & Faber;1
618;Course Technology Ptr;125
619;McGraw-Hill Companies;120
620;Oni Press;369
621;Confraternity of the Precious blood;361
622;Cambridge Scholars Publishing;104
623;Those Johnson Girls;273
624;Constable Limited;241
625;august house;51
626;Ohio University Press;399
627;Cherrytree Books;385
628;GENERAL PRESS;316
629;Starcatcher Press;186
630;Harper San Francisco;196
631;Princeton Review;247
632;Carson-Dellosa Publishing;384
633;Dell Publishing Company;375
634;Aspen Publishing;34
635;American Enterprise Institute;327
636;Little Apple;4
637;Apress;160
638;Casemate Publishers;218
639;Firefly Books;158
640;Syracuse University Press;281
641;Dearborn Trade Publishing;265
642;Royal Regal Books Llc;3
643;Africa Research and Publications;34
644;Lilyfield Press;126
645;Abrah-Cove Publishing;363
646;Rodale Press;105
647;B T Batsford Limited;148
648;Rahu Books;38
649;Silver Pixel Press;312
650;DIANE Publishing;173
651;Bkmk Pr/Umkc;335
652;Llewellyn Worldwide Limited;222
653;WestBow Press;202
654;Christopher-Gordon Publishers;245
655;BRILL;266
656;Tfh Publications Incorporated;203
657;Nelsonword Publishing Group;137
658;DK;116
659;New York : Knopf;54
660;Sunset Publishing Company;14
661;Pearson;327
662;Querido Kinderboek;50
663;Clarkson Potter;223
664;Government Inst;399
665;National Committee for the;299
666;Addison-Wesley Professional;114
667;Gold Rush Entertainment Incorporated;78
668;Univ of North Carolina Press;94
669;W Publishing Group;58
670;Penguin Group USA;52
671;Zondervan Academic;20
672;Schirmer Books;4
673;Smith Research Associates;170
674;BBC Books;357
675;Race Point Pub;306
676;Christopher-Gordon Pub;105
677;Franciscan Media;66
678;Central European University Press;150
679;Tyndale House Pub;75
680;Main Street Books;161
681;The Wessex Astrologer;292
682;University of Texas Press;265
683;Eleven International Pub;270
684;New Age International;295
685;Univ. of Tennessee Press;136
686;*Howell Book House;222
687;Red Room Press;164
688;St. Paul, Minn. : Indian Country Press;106
689;New York, Macmillan;145
690;Library Reproduction Services;124
691;Trafalgar Square Publishing;317
692;Amsterdam University Press;400
693;Purple Mountain PressLtd;279
694;Anova Books;104
695;M Evans & Company;269
696;Pilgrim Press;224
697;New York : Knopf, 1956 [c1955];283
698;Booklocker.Com Incorporated;59
699;Banner of Truth;35
700;Fraser Inst;134
701;Bunker Hill Publishing, Inc.;111
702;Simon & Schuster/Paula Wiseman Books;399
703;Saunders College Publishing;327
704;Inner Light - Global communications;13
705;From Here to Fame Gmbh;391
706;Gibbs Smith Publishers;25
707;Phaidon Incorporated Limited;154
708;UBC Press;272
709;Timber Press;356
710;University Alabama Press;295
711;Phoenix Pick;281
712;Harcourt School;87
713;Backbeat Books;373
714;Teach Me Tapes;339
715;SteinerBooks;307
716;Ragged Bears Incorporated;63
717;Random House Books for Young Readers;347
718;New York : Dial Press;162
719;Weiser Books;61
720;Hicksville, N.Y. : Exposition Press;379
721;Anchor;136
722;Dragonfly Press (NJ);158
723;Aeon Books;113
724;CQ Press;82
725;Images Publishing;84
726;Australian Geographic;354
727;Knopf Books for Young Readers;74
728;New Leaf Publishing Group;219
729;Golden Books;96
730;Penguin Classics;133
731;Putnam Juvenile;10
732;Good Press;306
733;Singular;365
734;Cosimo, Inc.;271
735;Literary Licensing, LLC;266
736;New Society Publishers;71
737;Hardy Boys;226
738;Music Pro Guides;356
739;Lantzville, B.C. : Self-Directional Services;301
740;Totally Entwined Group (USA+CAD);73
741;Gideon House Books;247
742;B & H Publishing Group;89
743;David C Cook;384
744;Living Dreams Press;381
745;Dialogues in Self Discovery;235
746;Fantagraphics Books;179
747;W. H. Freeman;192
748;Greenleaf Book Group Llc;397
749;Sue Watson;145
750;Estate of R. Buckminster Fuller;151
751;MacMillan Publishing Company;34
752;Gramercy;151
753;Ebooksonthe.Net;66
754;U of Minnesota Press;320
755;Dell;223
756;NYU Press;58
757;George Braziller;21
758;DigiCat;171
759;Ravenio Books;178
760;Capstone;68
761;Prentice Hall Professional;154
762;Editions Assouline;103
763;Teaching and Learning Company;82
764;Edinburgh University Press;273
765;Taylor & Francis;134
766;Gareth Stevens Pub;216
767;Theatre Communications Group;393
768;New York : Ecco Press;114
769;Baker Books;137
770;Everymans Library;154
771;Wardell Publications Incorporated;330
772;Avalon Travel Pub;69
773;Kensington Publishing Corp.;110
774;Harcourt Childrens Books;332
775;Millbrook Press;214
776;New York Review of Books;258
777;Irwin Professional Publishing;136
778;Book Sales;147
779;Kaplan Publishing;276
780;W W Norton & Company Incorporated;352
781;M T O Publications Center;102
782;Xulon Press;102
783;Canongate Books;47
784;Scarecrow Press;176
785;Coral Press;117
786;Stewart Tabori & Chang;327
787;Pen and Sword Maritime;290
788;Great Minds;127
789;Charisma Media;387
790;e-artnow;114
791;Woods N' Water, Inc.;34
792;谷月社;31
793;Adobe Press;265
794;Oxford : G. Ronald;368
795;Putnam Publishing Group;36
796;Y W A M Pub;352
797;Lemniscaat Publishers;211
798;Free Press;329
799;Spectrum;168
800;Creative Publishing International;7
801;Oregon Historical Society Press;202
802;Two Plus Two Publishing LLC;181
803;Granta Books (Uk);384
804;PediaPress;143
805;Golden, Colo. : Fulcrum Pub.;109
806;Heinemann Educational Publishers;188
807;Rutledge Hill Press;42
808;Plural Publishing;1
809;Eerdmans Publishing Company;181
810;VGM Career Books;389
811;Springer-Verlag;256
812;Back Bay Books;66
813;Little, Brown;78
814;Thurman House Llc;232
815;Addison-Wesley;39
816;Natural History Museum;96
817;Pg Online Limited;380
818;Little Tiger Press;257
819;Antique Collectors Club Dist;20
820;University of Georgia Press;118
821;Craftsman Book Company;179
822;The Princeton Review;376
823;Servant Publications;288
824;Bohn Stafleu van Loghum;72
825;McGraw-Hill Ryerson;182
826;Irwin Professional Pub;234
827;Hampton Roads Publishing Company Incorporated;29
828;Glencoe/McGraw-Hill Post Secondary;261
829;Henry Holt and Company;385
830;Shambhala Publications;156
831;Dafina Books;167
832;Talisman House Publishers;149
833;BEYOND BOOKS HUB;374
834;Dk Pub;335
835;Al-Arifeen Publications;334
836;Oxmoor House;396
837;Career PressInc;202
838;Rising Moon Books for Young Readers;24
839;C.E. Merill Publishing Company;75
840;H Publications;170
841;New York : Fromm International Publishing Corporation;136
842;CRB Publishing;77
843;Smith & Kraus Pub Incorporated;282
844;11:11 Publishers;162
845;Lippincott Williams & Wilkins;170
846;IAP;107
847;Overamstel Uitgevers;326
848;Puffin;100
849;Aladdin Paperbacks;133
850;Black Dagger Crime;339
851;Harper Perennial;328
852;Cornell University Press;156
853;Lulu Press, Inc;150
854;Baker Publishing Group;186
855;Spellmount, Limited Publishers;292
856;Houghton Mifflin;314
857;Glencoe/McGraw-Hill School Publishing Company;205
858;Betty Crocker;171
859;B T Batsford Ltd;176
860;Dog Ear Publishing;14
861;UNC Press Books;14
862;Delacorte Press;234
863;Gallopade International;68
864;Wesleyan University Press;15
865;Harvill Secker;356
866;Numinous Pub;159
867;New York : R.M. McBride;307
868;Child's Play International;386
869;Wakefield Press;277
870;University of Pittsburgh Pre;263
871;Society of Biblical Lit;68
872;Commonwealth Press Virginia;398
873;Atria Books;308
874;Haynes Publishing;151
875;Snow Lion Publications, Incorporated;121
876;Southwater Pub;37
877;Minnesota Historical Society;327
878;Nordic Arts;213
879;Lion Books;374
880;Plexus Pub;65
881;Bent Crow Press;321
882;Rodale;235
883;Sylvia Engdahl;301
884;Amer Literary Press;97
885;Universal-Publishers;134
886;Harrison House Publishers;223
887;Livingston Press;214
888;McKenna Publishing Group;99
889;Sourcebooks Jabberwocky;132
890;Circlet Press;38
891;Chambers;298
892;ANU Press;382
893;Aspen Publishers;27
894;Little, Brown Books for Young Readers;191
895;Thomas Nelson Incorporated;120
896;Regina Press Malhame;71
897;Scholastic;316
898;First Avenue Editions ™;73
899;Bloomsbury Publishing USA;110
900;Etc Publications;239
901;Soma Books;211
902;Academic Press;375
903;Univ. Press of Mississippi;128
904;University-Press.org;289
905;Time Out;177
906;Ruth Inst Books;111
907;Wentworth Press;348
908;Running PressBook Pub;282
909;Adams Media;337
910;Luba Trilogy;3
911;AFRICAN SUN MeDIA;375
912;Pelican Publishing Company, Inc.;329
913;House of Anansi;109
914;Multnomah;192
915;Gaia Matrix;371
916;Plume Books;374
917;ANWB Media - Boeken & Gidsen;321
918;Childs Play International Limited;392
919;World Bank Publications;397
920;Booksurge Llc;96
921;Newmarket Press;399
922;Teachers College Press;80
923;Saint Pauls/Alba House;234
924;DEBOLS!LLO;114
925;Prion;22
926;Puffin Books;3
927;University of West Indies Press;236
928;Viking Children's Books;170
929;Lincoln, Nebraska;152
930;Time Home Entertainment Incorporated;1
931;International Publication Service;72
932;Jove;118
933;Texas Tech University Press;340
934;Ediciones B;206
935;Pomegranate;192
936;Isa;136
937;Gotcha Products Incorporated;62
938;Birlinn Limited;101
939;Government Printing Office;82
940;Delta;294
941;Morgan Kaufmann;23
942;Asq Press;329
943;Pearson Educación;299
944;Farcountry Press;70
945;Greenleaf Book Group Press;96
946;London : Hodder & Stoughton;77
947;Iowa State Press;305
948;McGraw-Hill Education TAB;390
949;London : Thames and Hudson;274
950;Voorhoeve;235
951;Prentice Hall PTR;24
952;Orenda Books;88
953;Taylor Trade Publications;371
954;Greenhaven Publishing LLC;131
955;CP Publishing;116
956;Meisha Merlin Pub;364
957;Domain;246
958;Kok;396
959;Seak Incorporated;35
960;Rotovision;380
961;Marble City Publishing;309
962;G K Hall & Company;171
963;Bethany House Publishers;54
964;Gloem, Canada;245
965;Hay House, Inc;271
966;Bookman Publishing & Marketing;11
967;Wordsworth Editions;71
968;Amber-Allen Publishing;149
969;Strategic Book Publishing & Rights Agency;121
970;Bloomsbury USA;35
971;Juris Pub Incorporated;257
972;WS Publishing Group;36
973;Peter Owen Limited;295
974;New Press/ORIM;230
975;Walter Foster Pub;74
976;Texas A&M University Press;192
977;Unwin Hyman;95
978;Hyperion;28
979;Morgan Kaufmann Pub;147
980;[Washington] : B'nai B'rith, Department of Adult Jewish Education;142
981;Portland Or.;230
982;Catholic Basics: A Pastoral Mi;234
983;HarperCollins Publishers;24
984;Chinese University Press;14
985;Manning Publications;237
986;Barsoom;8
987;Hatherleigh Press;275
988;Gale, Cengage Learning ;129
989;Del Rey Books;366
990;Lyons Press;194
991;Ivy Kids;262
992;Hunter Publishing (NJ);165
993;Liturgical Press;266
994;Nada;341
995;Our Sunday Visitor;220
996;Better Homes & Gardens Books;101
997;Hassell Street Press;127
998;LA Leche League International;138
999;Macmillan Reference USA;32
1000;Leisure Books;293
1001;Random House (UK);145
1002;"New York ; London : A.A. Knopf, 1943 [c1939]";227
1003;BrixBaxter Publishing;118
1004;Que Pub;130
1005;Peppa Pig;248
1006;White Bear Pub;237
1007;Paul s Eriksson;89
1008;Frank Amato Publications;162
1009;Christian Faith Publishing, Inc.;46
1010;Musaicum Books;57
1011;Computer Science Press, Incorporated;179
1012;Butterworth-Heinemann;151
1013;First Edition Design Pub.;234
1014;Broadview Press;170
1015;Villard;308
1016;Theatre Directories;382
1017;Hamden, Conn. : Library Professional Publications;202
1018;WoodenBoat Books;134
1019;Frommers;209
1020;University of Washington Press;193
1021;CLC Publications;141
1022;New York : Ziff-Davis Publishing Company;315
1023;Phoemixx Classics Ebooks;295
1024;Ws Pub;262
1025;John Hunt Publishing;75
1026;Mountaineers Books;273
1027;Constable;128
1028;Abbeville Press;266
1029;Perq Publications;397
